Node	BetweennessCentrality
0	0.14496991836509301
1	0.029978515477085427
2	0.009787688212054689
3	0.030586144762059182
4	0.00708794511185237
5	0.07057629760596569
6	0.0548715409917757
7	0.07313071048055306
8	0.07219555556822452
9	0.015116405399248958
10	0.04845846203859426
11	0.01517518736100202
12	0.03924140218659202
13	0.020262832442133585
14	0.01954324245923374
15	0.01268721574189555
16	0.039960993805027364
17	0.024855464682468346
18	0.040994836135135417
19	0.016514526148136786
20	0.020459090337436394
21	0.03692696095253837
22	0.008368370587743085
23	0.021865005867370717
24	0.014431438805519878
25	0.01730954445189563
26	0.004239854962725824
27	0.006562062293196488
28	0.002079406921118448
29	0.01138625396719398
30	0.013182947430629253
31	0.004005375635138329
32	0.011957260401836792
33	0.002997948357755506
34	0.016274954864881515
35	0.005994482593917552
36	0.004347023850750358
37	0.02491074043283684
38	0.010770465598205721
39	0.004295734994940385
40	0.004494687689874435
41	0.013631429255806347
42	0.009431707914219968
43	0.0016400384237587706
44	0.00142197983340647
45	0.005601520420173431
46	0.005754901988180617
47	0.002177065019296853
48	0.002757602110072292
49	0.0018904087397653578
50	0.01077933259216439
51	0.002197876151012067
52	0.003981062762754193
53	0.006659143467838132
54	0.005424478693712392
55	0.008457074663835528
56	0.007362430915791451
57	0.004925613706284647
58	0.005375275088702116
59	0.007980070823463475
60	0.0035039923293420203
61	0.004691176913034369
62	0.007382203266553408
63	0.0011712548885961253
64	0.0020209204035212657
65	0.002992853340530007
66	0.004245696621264407
67	0.00513716348531344
68	0.017737277655092237
69	0.0019802464242070564
70	0.002821599093353362
71	0.005742969638344772
72	0.005226320784818262
73	0.0075242206679349095
74	0.013514448970945139
75	0.0037209635694552103
76	0.00392615225301014
77	0.003665667669692504
78	0.0055053823524309755
79	0.0037850135405427705
80	0.003990599620120172
81	0.003899592462018176
82	0.006550230272293544
83	0.003058009798204584
84	0.007808007034113979
85	0.005713572674346991
86	0.003026039858772196
87	0.0013637751703363785
88	0.00300363499722512
89	0.004302252003951021
90	0.004202572634098591
91	0.002148313895078629
92	0.0024813993171517645
93	0.004646891421336167
94	0.004959682652112825
95	0.0017733032666082242
96	0.0013345170751474327
97	0.0010379306503552697
98	0.0025910805752152105
99	0.002628824872108027
100	0.0013973403891563063
101	0.0030413123057769216
102	0.0013942433322045313
103	0.0021023667406868023
104	0.006632314107902233
105	0.002674470466248459
106	0.0023631899868452964
107	0.0024142412689016524
108	0.003453419650230218
109	0.000837644748521906
110	0.0019510403229403028
111	0.002135750564553654
112	0.005893049930572757
113	0.006703944065791278
114	0.0016427491819179056
115	0.007657545395021847
116	0.0034944974052710494
117	0.0003599897399764752
118	0.004923821643627456
119	0.003865690211950058
120	0.003451132172852039
121	0.0011769495114115874
122	0.002986658897867274
123	0.004552196904242432
124	0.0016559697963916395
125	0.007497634308547977
126	0.0013703468892900606
127	0.0014386709515952635
128	0.0016208744537480997
129	0.006592427076057679
130	0.002242780963383875
131	0.0007873191716663331
132	0.00045483534079039715
133	0.0024119050828867172
134	0.0028220904354657366
135	0.0010327381095374326
136	0.002597674668196023
137	0.002459594938960492
138	0.00018840969007249882
139	0.006012828365779071
140	0.0057511048057956845
141	0.0015525393843424504
142	0.0054361439435380585
143	0.0031465342656174936
144	0.004124981909106593
145	0.0034911582139916545
146	0.0029892038754706705
147	0.0008519717928454747
148	0.002318355595123028
149	0.004021757324586636
150	0.0038032622258119906
151	0.002956996041488555
152	0.0009359316918984189
153	0.002332275677217982
154	0.00231177529951941
155	0.0010883468846516638
156	0.003006804555952031
157	0.0008224582788320009
158	0.002882263719501879
159	0.0005497510758508146
160	0.0007258801484042726
161	0.004755712209415763
162	0.0045551827493056675
163	0.001692857514838665
164	0.0017235537307915725
165	0.00321486210748654
166	0.0035502552363332472
167	0.005444743299017924
168	0.0012438463712575014
169	0.003224219537945172
170	0.0004134849084355888
171	0.0017051756844442293
172	0.0018078768904976068
173	0.002594710263103224
174	0.0034560486460939043
175	0.0022832646246221935
176	0.0015651751903344576
177	0.0035453154718919073
178	0.0015381080047076633
179	0.0033048778119369065
180	0.006583272985644433
181	0.0014572886286429436
182	0.001370881065106487
183	0.008001764708428637
184	0.0007850238548417039
185	0.00040460358463563327
186	0.0027517536731992234
187	0.0023259800010971715
188	0.0015321168673165155
189	0.000966116726929428
190	0.002050460664321062
191	9.68921898730941e-05
192	0.0018649217871958023
193	0.0006307648480611301
194	0.0036599237492140817
195	0.0032659270125581664
196	0.0018491763294789677
197	0.00018138693330381969
198	0.0021209686262865478
199	0.01108514050120809
200	0.0051138156955230635
201	0.003121425887825365
202	0.004272962358864329
203	0.0026346902209638547
204	0.0004208954917485379
205	0.0006296269418764487
206	0.001878531540001828
207	0.0016439725040395736
208	0.0015461097166625999
209	0.0009801004079965034
210	0.0011151596192710107
211	0.001508684326992926
212	0.0006517724871225765
213	0.001883914840885079
214	0.0007958859059663954
215	0.004424143118920347
216	0.0019091494161277128
217	0.0015360772805746877
218	0.001419973116833946
219	0.0004082103102792569
220	0.003344781378640825
221	0.0009252536535991751
222	0.0018935792015745004
223	0.0027471164074978193
224	0.0016258685231892328
225	9.096505978864611e-05
226	0.0005921308147298901
227	0.00678980036599613
228	0.0011192204508078932
229	0.0009696926150561126
230	0.0006257419045045041
231	0.002403546692014918
232	0.00028144473789067743
233	0.0016885932425441514
234	0.001743937829022217
235	0.0008196627204601487
236	0.0008520663517337358
237	0.002033541246310836
238	0.0005373847135795391
239	0.0005100639442399536
240	0.0018827589802975389
241	0.001559672024536305
242	0.0004883412422380414
243	0.0018879683561628681
244	0.0007729041030071048
245	0.0031597299598856193
246	0.00045219184823865017
247	0.0012732537825608996
248	8.208126782244275e-05
249	0.0002559930403551189
250	0.0020697109434488666
251	0.005326579668034543
252	0.0023309057803177833
253	0.001976206246694199
254	0.001715041742894303
255	0.0004921158414827004
256	0.0026873115954883283
257	0.001596093228830559
258	0.0009029634792723376
259	0.0009830396768310487
260	0.00058510556431213
261	0.0034554045923003464
262	0.0007367813540677311
263	0.0029805073629204557
264	0.0004839535514694815
265	0.0003408731983870784
266	0.0019091601746949666
267	0.0006824504614507024
268	0.00012868376919703022
269	0.0004760501075941784
270	0.0007822142583953332
271	0.0015352884820244155
272	0.0013655551834593793
273	0.002123419639955093
274	0.0010851244817855178
275	0.0014630915812710317
276	0.0002713775494481043
277	0.000868633115161559
278	0.0019097602693442508
279	0.0015699389750861608
280	0.0008556697300324093
281	0.0026754667604990488
282	0.0018301412865186371
283	0.0013745770697642552
284	0.001358989164607559
285	0.0009641718515990662
286	0.0018136832596898171
287	0.004969833490527947
288	0.001307278155897311
289	0.0005596946406853428
290	0.0015692973472717679
291	0.0021314311429275895
292	0.00026024469134504395
293	0.0020688565521642826
294	0.0012955531834490791
295	0.00047932229722851536
296	0.0032109443136243195
297	0.0031648094106955004
298	0.0011844049708574255
299	0.003491535086649121
300	0.0011450624663063625
301	0.0011655071162964049
302	0.0012997590004579665
303	0.001868284146682317
304	0.0017265800147901046
305	0.000393875698835607
306	0.0011057696436953326
307	0.0006186787617227929
308	0.0009040288456502924
309	0.0051654501076114885
310	0.0010775399871974392
311	0.002358585359905001
312	0.0006100940005707911
313	0.002120603757012736
