Node	BetweennessCentrality
8843	1.0058047947554895e-05
2	0.0017099524377090414
1	0.005916563259942517
6	0.013872337449963548
10	0.00479178802631387
9	0.012419494797309033
11	0.0005519927647763051
12	0.0
5	0.0035644685872867963
13	7.142397863447871e-07
14	5.650131195917325e-07
16	4.585981339307684e-06
17	4.636641146993294e-05
4	0.0008917253566669774
18	0.00020234031119708383
19	0.0014210920789118682
20	0.00212391909423958
21	0.0007037805749968234
22	0.0
23	0.0007386337667954179
24	0.03617079862123755
27	0.018586197462538128
25	0.004726996039751277
28	3.683709487348722e-05
30	0.00041673521830134597
31	0.0
32	0.0
33	2.805298184920057e-05
34	1.7367725173064262e-05
35	7.493044710990876e-05
36	5.1205366773779474e-05
38	0.0
39	2.4432926728189157e-08
52	8.191276463131268e-05
40	0.00023706396652830043
42	0.011362466465480883
43	0.0010044566175419565
44	7.458987365199688e-05
46	5.120655516542959e-06
47	1.5050075192154615e-05
48	8.398896988276126e-07
49	0.022918159333845042
50	0.011381221455202878
51	0.0
53	2.950930191034993e-05
54	2.071044312557796e-07
55	2.3577016275926757e-06
57	1.8807429124524207e-06
58	0.0
59	0.0009952263527550679
60	5.1167277704935816e-06
61	0.004172067862571575
41	0.0003808457323144532
45	0.007486102202157694
56	9.72618156694541e-06
65	3.2713057209469025e-05
85	0.0024879322517121663
86	0.003171288397105327
62	2.1773116202851415e-06
63	0.0
64	0.0004465963370517082
15	0.0
66	0.0001286014686993396
67	0.00020757263275169102
68	3.5125901637210707e-06
69	2.3690129761100362e-05
70	0.0
71	5.288444576683724e-05
72	0.0006965084854340944
73	8.622676333391918e-05
29	1.2897316524801265e-05
74	0.0001575093325080721
75	2.492760992337379e-05
76	0.0
77	1.0306392469628151e-06
80	0.018946161126146645
78	0.0
79	6.043476060143985e-05
81	1.3175736206079525e-05
82	2.7664337228037665e-06
83	8.497403504516458e-05
84	1.0678971768895863e-05
87	0.0003533090047198346
88	0.0
89	0.0
90	1.250802693404173e-06
91	0.0
92	1.9460126217416587e-06
93	0.00022909636354730888
94	0.0001689601086456732
95	9.84779199007061e-05
96	4.498991908142588e-06
97	6.528854392233365e-05
111	6.247705231216626e-07
116	0.002812821650214818
98	7.658241640370387e-06
99	1.5370270057095024e-06
100	1.6425079502820088e-05
101	5.8192285101797315e-06
102	0.000986238816356589
103	0.00019295940659665105
109	0.0035491772027593654
113	0.00022276862912194096
118	0.0001121565007100788
104	1.804689148357951e-08
105	9.533740931624136e-07
106	0.000669668528059696
107	4.0336303823687185e-05
108	0.0
3	1.1520022629556582e-06
110	1.7919940638478757e-06
112	0.001386059659856551
114	0.0
115	7.849981083396118e-05
117	0.0
119	0.012018003957007611
120	0.00013489790240555068
121	0.06892437245445515
122	0.00019468734180510123
123	6.314853610172311e-07
124	0.0
125	3.535931013342742e-05
126	7.412769450829542e-07
127	0.0
128	1.1852158555858265e-05
129	0.07319266308658065
130	0.00013636740120131949
131	6.390515274812043e-06
132	0.0001014324738627975
133	0.00012535589048522834
134	4.3025204037781647e-07
135	0.0
137	0.0
138	0.0
139	1.7727822926971448e-05
140	5.463840727715011e-07
141	1.0140786325598423e-05
142	5.157198717081987e-07
143	6.293663845896423e-06
144	0.0
145	0.0006022213837096502
146	0.0002940921148388606
147	2.6954045607876924e-05
148	1.9355503610506877e-05
149	7.892191404753757e-05
150	2.2911551719498258e-06
151	0.00015272481066581036
152	7.733729135084342e-05
174	0.00010572797635141389
153	1.0003321864753914e-05
154	3.3744294424519083e-06
155	4.3025204037781647e-07
156	0.0
157	0.002891807060620431
175	1.6031305726870755e-06
158	0.0
159	0.0
160	6.992588536264763e-07
161	0.0
162	0.0
163	0.0
164	0.0004651152757640472
165	9.129123991154802e-05
166	0.00037560657166834386
167	0.0036364240639332663
178	0.00011198282419037078
168	0.0018102800707325555
186	0.013214338646085719
169	1.810131976323569e-07
170	0.00012193803904087222
176	5.9728192294579614e-05
184	4.3982577695675144e-05
171	0.033462244074152256
177	4.731685297829947e-05
185	0.0007064801062119192
201	0.0027468067011578168
172	0.0013502496400584578
173	1.495083461622098e-06
179	5.115522693432667e-05
180	0.00013407773291710388
181	0.0
182	0.0
183	1.720251571234779e-07
187	6.7689564687479826e-06
188	0.0
189	9.175717849271586e-05
190	4.845669313198068e-07
191	2.475858330608003e-05
192	0.00010798460316699309
193	0.00033125829206694064
194	1.8799688250534188e-05
195	1.4348103542749895e-05
196	9.739105334439104e-06
197	0.0
198	0.0
199	0.0
200	1.477542273153595e-06
202	0.0
203	9.76871964179671e-07
204	0.003927662227282162
205	0.000368558346996716
