Total Nodes: 2000
Calculation Time (seconds): 0.8469204902648926

Node	Degree	True_BC	Approximated_BC	ErrorPercentage	NumSSP	NumSSP/TotalNodes
0	6	0.0006317709760146523	37517.24137931035	5938424234.713381	406	0.203000
1	7	0.0008963997392934761	18509.394572025052	2064859332.758624	479	0.239500
2	7	0.0009356823368350402	15430.76923076923	1649146049.639208	520	0.260000
3	6	0.0007257808425323465	10374.468085106382	1429421493.563764	940	0.470000
4	5	0.00048224332566286916	28959.06432748538	6005073021.059706	513	0.256500
5	7	0.00098176267725434	19744.034707158353	2011080089.193561	461	0.230500
6	6	0.0006980325943580802	13472.636815920398	1930086965.391267	603	0.301500
7	6	0.0007431831954104539	11126.213592233009	1497102318.480829	721	0.360500
8	8	0.0012834113451052382	315875.0	24612140131.166386	48	0.024000
9	7	0.000968012550090975	55102.739726027394	5692357888.628222	292	0.146000
10	9	0.0021053549188082116	38539.13043478261	1830528809.424860	230	0.115000
11	6	0.0005811788631501166	34157.142857142855	5877216884.802865	560	0.280000
12	5	0.00041341672401286117	46091.603053435116	11148944869.144798	393	0.196500
13	14	0.0034919921765610884	44421.62162162162	1272099589.105489	185	0.092500
14	8	0.0014353073876351907	108141.73228346456	7534395195.048167	127	0.063500
15	6	0.0007259065810685466	38651.25240847784	5324549010.931402	519	0.259500
16	11	0.0023985598800661924	71918.36734693877	2998397727.989771	245	0.122500
17	8	0.0012618758742834954	18159.53307392996	1439090181.699942	514	0.257000
18	7	0.0010347353044750358	40965.217391304344	3959004411.988474	460	0.230000
19	15	0.004564704798354931	69050.84745762713	1512712123.636286	118	0.059000
20	3	0.0001721133946051762	24275.229357798165	14104206846.522049	654	0.327000
21	9	0.0018260536820970165	19201.90023752969	1051551693.125735	421	0.210500
22	4	0.0002864638055193333	102253.52112676056	35695092667.962105	142	0.071000
23	8	0.0012598355807262457	30097.744360902256	2389021516.896396	266	0.133000
24	9	0.001293064090397896	13610.738255033557	1052595695.993787	596	0.298000
25	12	0.002933724639090939	50862.2754491018	1733709832.124450	334	0.167000
26	7	0.0009544264587597231	42508.333333333336	4453809090.136335	240	0.120000
27	2	6.678394425686565e-05	38162.28070175439	57142897233.188225	456	0.228000
28	10	0.0019439995693956314	39136.186770428016	2013178677.739907	257	0.128500
29	4	0.00030738461941231783	31886.71875	10373556914.974771	512	0.256000
30	6	0.0007106239492624151	55993.75	7879519026.553242	320	0.160000
31	4	0.00026390378328985725	16219.392752203721	6145949211.529665	1021	0.510500
32	10	0.0020098409847828036	38928.909952606635	1936914822.491420	211	0.105500
33	8	0.0014094800961376708	16582.329317269076	1176485425.599746	498	0.249000
34	5	0.000539292543617971	5397.993311036789	1000939626.483715	1495	0.747500
35	4	0.0003883868662917521	13849.006622516556	3565776146.438088	1510	0.755000
36	6	0.0006093330471055514	10354.463130659768	1699310840.026222	773	0.386500
37	4	0.0002819758414819499	6914.822673537436	2452274760.568179	3299	1.649500
38	14	0.003768032008322227	38133.333333333336	1012022442.513188	210	0.105000
39	7	0.0009769413679629312	11431.42857142857	1170124223.352670	700	0.350000
40	9	0.0014449836728759131	18901.140684410646	1308052097.350590	526	0.263000
41	6	0.0007832135042508319	26495.90163934426	3382972932.964800	488	0.244000
42	6	0.0007586744447989855	81870.58823529411	10791267326.568733	170	0.085000
43	6	0.0007957675044336202	17654.075546719683	2218496564.963066	503	0.251500
44	9	0.0016576239000270212	75214.28571428571	4537475844.516705	140	0.070000
45	4	0.0002374356490719707	2859.9928749554683	1204533796.293120	2807	1.403500
46	6	0.0006480547063851058	10045.112781954887	1550040765.837889	798	0.399000
47	7	0.0010215707662387698	12461.059190031152	1219793927.183297	642	0.321000
48	5	0.0004369903755241408	17431.31868131868	3988947862.620682	728	0.364000
49	5	0.0004719599847481307	52129.496402877696	11045321132.200962	278	0.139000
50	7	0.0009185017712665518	10373.056994818653	1129345244.703572	772	0.386000
51	8	0.0012671925847629385	16581.443298969072	1308517918.361910	485	0.242500
