Node	Average_Approximated_BC
232	0.43258441329062813
1357	0.5767872161487412
1122	4.6247348883370597e-32
3815	3.1197148951971927e-44
3672	0.9117866154030999
239	9.145820901628089e-09
129	1.48651808025098e-28
121	6.774405298256251e-09
652	0.5798390003604469
1362	2.7599019451652424e-40
865	4.431001082479461e-95
24	1.1246013219684647e-20
266	0.5486723537195949
171	3.82155433626974e-40
557	5.332639870699942e-05
933	3.7528219220748605e-48
1938	1.938054941777559e-67
614	5.35308545939527e-56
7033	8.703823676625909e-115
49	8.340011881561384e-13
7058	2.0551446633481846e-24
1983	1.4940477466184717e-28
689	3.2136250418279513e-126
325	2.1710054516917253e-28
230	7.194835072956731e-111
80	4.597178885213471e-142
27	1.0434411676286897e-114
613	6.8952059620259395e-158
2413	1.9116649919591615e-212
916	3.176434485652151e-79
