Node	Average_Approximated_BC
232	3.783298258184849e-24
1357	6.3720374627878e-40
1122	2.1035694007135623e-16
3815	1.3435857309928936e-55
3672	4.8594713984667623e-20
239	2.6661815240622288e-20
129	5.127994243416846e-32
121	2.5631138260646374e-63
652	7.052156477675024e-91
1362	4.404931195741833e-32
865	1.4280653965443445e-145
24	2.442187741782618e-67
266	1.3667042647203103e-200
171	1.2176928204465365e-149
557	9.520107732729157e-287
933	1.1233020033119172e-51
1938	5.714422289629243e-134
614	2.494270785653977e-165
7033	0.0
49	1.7569361583239993e-55
7058	2.959781268350768e-63
1983	4.0401527998849355e-216
689	0.0
325	1.6523258063831333e-204
230	2.878669570695797e-161
80	3.27316847240895e-310
27	6.847905043003599e-87
613	1.0675184747343835e-235
2413	1.3160327850736272e-282
916	3.3770209832821224e-216
