Node	Average_Approximated_BC	Total/Numssp
0	0.00033199866533199866	0.002
7	9.102175941634317e-05	0.008199999999999999
8	0.00022024856575465212	0.0058000000000000005
5	8.925859142634196e-05	0.008799999999999999
6	0.00010699377049218637	0.008
10	6.0489083633008535e-05	0.0103
18	5.210988393897565e-05	0.018000000000000002
16	5.3895357150849624e-05	0.0123
12	5.652568668431645e-05	0.015
21	0.00012908864935863655	0.0173
3	7.026049297184865e-05	0.011099999999999999
1	4.36892256486264e-05	0.0147
37	2.9923672655906203e-05	0.0273
17	6.349347960543829e-05	0.0173
23	3.2734634195086646e-05	0.0243
20	3.1241285742438914e-05	0.027200000000000002
13	4.362750571853093e-05	0.021500000000000002
14	2.7966379068337683e-05	0.0247
68	4.522416583710389e-05	0.0189
25	2.2809603247914937e-05	0.0358
19	2.0785064589239527e-05	0.0389
34	4.5097565217274194e-05	0.035699999999999996
11	3.0357258457357432e-05	0.0523
9	2.8073980769511958e-05	0.0257
24	0.00022970530844539533	0.0206
41	1.7528229053648585e-05	0.0543
74	9.012467798025647e-06	0.07110000000000001
30	2.8279819805484597e-05	0.0397
15	1.5120226552980915e-05	0.0474
32	2.868916717396194e-05	0.035
