Node	Average_Approximated_BC	Total/Numssp
232	38081942.09294705	0.0013214
1357	28331856.672820516	0.0016098000000000002
1122	39550709.09333333	0.0015136
3815	22477713.4	0.0024268000000000002
3672	51146838.7780338	0.0016098000000000002
239	25411714.65455209	0.002523
129	19457576.83576957	0.0032194
121	13144800.87787697	0.0043488
652	10382767.055971479	0.0043728
1362	23452656.798512638	0.0024986
865	7709286.57163423	0.007616599999999999
24	16581103.67055063	0.002715
266	5024811.725292494	0.009202199999999999
171	6270060.930144829	0.0071358
557	3747780.9108266444	0.013022799999999998
933	11955418.917513505	0.0054542
1938	6614512.34813684	0.009586800000000001
614	6546169.985745006	0.0066794
7033	2837266.063079892	0.020447
49	10169852.261238141	0.0078088
7058	10031221.824222114	0.0105238
1983	5135075.900819615	0.0104518
689	3265988.893536467	0.0130466
325	3776440.163661496	0.015473399999999998
230	4680099.454367132	0.0146566
80	2894560.765090312	0.018116600000000004
27	6879234.436215749	0.0102836
613	3657227.133091502	0.0194136
2413	4710820.161015022	0.011845399999999999
916	4929164.614774218	0.0130468
