Node	Average_Approximated_BC
0	0.0002568705941225534
7	0.0001295291784981074
8	7.18773164661844e-05
5	0.00018789190263816466
6	0.00011263539897374358
10	6.815400652140558e-05
18	8.622749770477191e-05
16	5.046359825503783e-05
12	8.687392564722405e-05
21	3.498738740327473e-05
3	6.876383388005669e-05
1	9.545749073407639e-05
37	2.4540376270256078e-05
17	3.469293166310122e-05
23	3.527583250868807e-05
20	3.21422995594875e-05
13	4.4259067719210486e-05
14	2.234250599479073e-05
68	6.655354735213631e-05
25	2.24832512696875e-05
19	2.2875132331369695e-05
34	3.140760230526765e-05
11	2.9277339179518515e-05
9	3.3944744412210096e-05
24	1.3407003011425828e-05
41	1.5724898486046872e-05
74	1.2099933587126215e-05
30	1.3405519006960938e-05
15	4.073945547064925e-05
32	2.8851295434322905e-05
