Node	Average_Approximated_BC
2238	0.00023329345936349785
7261	1.8349236093991699
6517	4.52900133752399e-05
5707	1.1664829340682639
9220	0.00010977074847006087
9469	1.201547593809625
7511	1.131757472970108
2266	1.032974590663218e-08
2264	1.6887004451982193
8529	1.4269532699007716e-12
2583	1.8271961412615533e-32
8058	1.6468868419272983e-12
5213	6.114718865442908e-29
7490	6.63827811486965e-21
7324	6.217664709179075e-29
7497	0.0
6618	1.5520551291458933e-294
8055	8.77155660344769e-45
9468	1.896094770681538e-20
4	6.0819978022118235e-09
8836	2.345691047974473e-44
5180	6.301832362832005e-17
8837	0.0
6841	1.564935340258639
249	5.964422043409694e-25
6842	3.281392166839435e-40
4822	1.5604266359120434e-28
40	4.3402179831399143e-05
4638	1.810614710930926e-72
2267	0.0
