Node	Average_Approximated_BC	Total/Numssp
2027	47663565.6	0.0004768
2464	42535487.4	0.0013716
2026	19271602.21	0.0014315999999999999
2364	25174033.40666667	0.0010138
2444	29325198.291666668	0.0015508000000000002
2443	14532142.298333336	0.0014912
1664	32004452.060000002	0.0014908
333	38903901.0	0.0008347999999999999
348	42832563.2	0.0007752
376	24363624.48333333	0.0010736
294	28416842.65	0.0007754
325	60956757.63333334	0.0007153999999999999
292	22794364.6	0.0010138
327	21575381.449999996	0.0010736
2023	16486253.933333334	0.0016101999999999998
648	33427677.616666663	0.0011928000000000002
291	37257138.91666667	0.0010138
328	37902624.94666667	0.0007754000000000001
2393	34134057.32	0.0013122
2386	21130918.946666665	0.0011332
2362	10677166.53111111	0.0020278
293	60611217.473076925	0.0016104000000000001
805	16219567.49	0.0017892000000000001
2577	22742967.9	0.0011928
817	26767259.788888894	0.0013122
3160	30745914.686666667	0.0009542
782	27091904.7	0.0009542
2395	17762204.553333335	0.0015505999999999999
375	53481165.89666666	0.0012524
335	41273075.44888889	0.001491
