Node	Average_Approximated_BC	Total/Numssp
111	85026.38234439718	0.09990000000000002
781	47521.688898593784	0.135
1414	109186.12242425296	0.1062
1426	107832.7245986108	0.0984
1709	76740.99098988117	0.11259999999999999
190	97872.56835330716	0.0865
281	68685.52189390463	0.10069999999999998
820	63158.118240916614	0.1129
1308	55609.916299591096	0.1372
1280	47238.043006901615	0.1551
1489	51406.71627861573	0.1312
1133	68123.04386620634	0.1291
1857	52050.81247366844	0.1791
1620	53576.848387163	0.15499999999999997
315	73626.8293485139	0.1001
1762	26184.148656948993	0.2574
93	102582.0189503299	0.082
305	102305.00177509326	0.0887
1216	171639.1972122274	0.09409999999999999
1577	49435.66194213555	0.1765
184	78254.72572713344	0.0954
1375	34236.144836197804	0.1903
19	83598.2153126486	0.09319999999999999
1325	65802.16407767084	0.1248
974	61763.68624777591	0.1545
913	70621.88873566342	0.1636
931	50392.290977662946	0.1668
678	42083.80016032605	0.1955
1736	34087.127141937	0.19380000000000003
233	41351.24003926477	0.1509
