Node	Average_Approximated_BC
0	1.1351693673129952e-10
7	5.115858161400637e-14
8	2.1743944821225437e-40
5	4.107631267185357e-37
6	2.0514098010967488e-40
10	7.660225591380458e-146
18	3.34204890056437e-116
16	7.098135547006211e-57
12	8.386018137050506e-34
21	7.080856752233959e-103
3	9.94256487912343e-100
1	8.201719250894524e-90
37	1.2947125126365178e-211
17	5.8952130896980706e-136
23	4.667637699283366e-172
20	1.7244552351828363e-63
13	3.7639089138832014e-218
14	2.1333335139511842e-221
68	3.4408237903968746e-303
25	2.0188688692212595e-96
19	2.0848046258131414e-221
34	3.9482885964297005e-116
11	2.083340905371216e-96
9	1.8209413159643804e-165
24	0.0
41	5.544896116789509e-159
74	1.6348814480555544e-280
30	0.0
15	5.02661282865901e-103
32	0.0
