Node	Average_Approximated_BC
2238	1.2230355738797408e-08
7261	0.0004340442725157967
6517	2.4734687816337668e-60
5707	3.256271091839126e-56
9220	1.010218371049764
9469	1.719908262530387e-20
7511	0.0002478095462366375
2266	1.5752296852743365e-16
2264	2.4665587871443892e-24
8529	0.00012311592861154245
2583	1.2075833279151071e-08
8058	1.6468868419272983e-12
5213	4.2779128678765634e-96
7490	2.8299076500763785e-68
7324	1.952444934847511e-44
7497	1.4184818622295303e-155
6618	1.7342315178067953e-159
8055	2.49235257941204e-60
9468	1.3916891949945187
4	1.2727713397447584e-16
8836	1.4652275414932994e-24
5180	2.4495172208620654e-56
8837	0.0
6841	1.5649353580349898
249	3.3973920950464233e-68
6842	3.950213640893811e-52
4822	8.801605730649245e-132
40	2.6874342849612278e-48
4638	4.5044298662177114e-100
2267	0.0
