Node	Average_Approximated_BC
111	2.3297220966869938e-05
781	6.706475695490049e-06
1414	6.0303300203524755e-06
1426	7.665206919860415e-06
1709	9.096346913911632e-06
190	7.79205506968905e-06
281	9.209211417737503e-06
820	5.308153218673485e-06
1308	6.210554890407848e-06
1280	6.286644316044899e-06
1489	7.852079252745007e-06
1133	5.964399146281292e-06
1857	6.8923163994585395e-06
1620	5.139877900349098e-06
315	4.62793600676571e-06
1762	5.005098745994634e-06
93	9.43756992385797e-06
305	7.725446851435023e-06
1216	5.0964118631648635e-06
1577	5.924373581754528e-06
184	4.560349894021757e-06
1375	5.217554866562288e-06
19	7.497713156829412e-06
1325	5.721997709252543e-06
974	5.595809770889649e-06
913	7.344479100307842e-06
931	4.611339527156869e-06
678	3.6932585218020738e-06
1736	5.963301472738001e-06
233	8.172780034201909e-06
