Node	Average_Approximated_BC	Total/Numssp
0	4.076784323400522e-27	0.0060999999999999995
7	4.2238633721679153e-60	0.014799999999999999
8	2.1245746261162513e-63	0.0155
5	9.010866534738365e-57	0.013000000000000001
6	2.5624735283256348e-40	0.0156
10	4.903787776452058e-93	0.0274
18	3.429110849722541e-106	0.0323
16	2.829940571741946e-73	0.0318
12	8.273052859128155e-113	0.027000000000000003
21	2.053759688711921e-165	0.0437
3	3.6615686826064546e-139	0.027299999999999998
1	7.706830397854138e-80	0.0222
37	6.4407539667306015e-251	0.06420000000000001
17	7.266009569653389e-136	0.038099999999999995
23	1.1951416055278875e-224	0.058499999999999996
20	1.155364864905278e-224	0.0492
13	6.771680872489707e-126	0.058600000000000006
14	6.084399679048475e-103	0.0787
68	0.0	0.10779999999999998
25	9.934550283415283e-192	0.0754
19	7.30929809778714e-274	0.07100000000000001
34	0.0	0.0903
11	3.3929174469143173e-162	0.0903
9	5.964902821210761e-228	0.056100000000000004
24	8.362942806729204e-238	0.07690000000000001
41	6.218778550188957e-182	0.1263
74	1.8610358970116083e-303	0.1147
30	2.19513624266248e-280	0.0881
15	2.0874311029792528e-142	0.08499999999999999
32	0.0	0.10389999999999999
