Node	Average_Approximated_BC	Total/Numssp
2238	0.0001371770200424911	0.0003604
7261	1.878418486326055	0.00038159999999999995
6517	6.585840295035936e-05	0.0011872
5707	7.43045715695519e-13	0.0006784
9220	1.9394074455244443e-32	0.0018655999999999998
9469	0.00012910530357242508	0.0023107999999999996
7511	1.790615657443423e-20	0.0010812
2266	1.3425142598294688e-28	0.0015264
2264	8.171395280071376e-05	0.000954
8529	2.385349211501616e-40	0.0029044
2583	2.2923163355538093e-44	0.0032221999999999993
8058	2.2447335354994589e-32	0.0019504000000000001
5213	1.3733724648873888e-40	0.0037095999999999995
7490	9.668546457200142e-33	0.0014416
7324	1.7551282875420475e-28	0.0013567999999999998
7497	0.0	0.0959406
6618	0.0	0.107133
8055	1.1324063725730082e-32	0.0045152
9468	1.3910960356158575	0.004918
4	8.248582802690966e-13	0.0007208
8836	1.1068431771292497e-12	0.0016323999999999998
5180	9.167922105272447e-29	0.0016324000000000002
8837	0.0	0.19499740000000002
6841	1.7682708230687312e-08	0.006571199999999999
249	1.0080169340156089e-20	0.0016748
6842	7.362756408893451e-92	0.0059142
4822	0.9784806050217121	0.0045574000000000005
40	1.1305454093700867e-40	0.0018655999999999998
4638	1.3848384525525833e-56	0.0049604
2267	0.0	0.0974456
