Node	Average_Approximated_BC	Total/Numssp
232	0.43258441329062813	0.0009128000000000001
1357	0.5767872161487412	0.0005288
1122	4.6247348883370597e-32	0.0015136
3815	3.1197148951971927e-44	0.001634
3672	0.9117866154030999	0.0015378
239	9.145820901628089e-09	0.0015616
129	1.48651808025098e-28	0.0018499999999999999
121	6.774405298256251e-09	0.0020180000000000003
652	0.5798390003604469	0.0016818
1362	2.7599019451652424e-40	0.0029311999999999997
865	4.431001082479461e-95	0.0049256
24	1.1246013219684647e-20	0.00173
266	0.5486723537195949	0.001754
171	3.82155433626974e-40	0.002907
557	5.332639870699942e-05	0.005694199999999999
933	3.7528219220748605e-48	0.0030996
1938	1.938054941777559e-67	0.0056942
614	5.35308545939527e-56	0.0027630000000000003
7033	8.703823676625909e-115	0.007208000000000001
49	8.340011881561384e-13	0.002643
7058	2.0551446633481846e-24	0.0028352
1983	1.4940477466184717e-28	0.0033876
689	3.2136250418279513e-126	0.0061988
325	2.1710054516917253e-28	0.004901399999999999
230	7.194835072956731e-111	0.0093462
80	4.597178885213471e-142	0.011677000000000002
27	1.0434411676286897e-114	0.00543
613	6.8952059620259395e-158	0.009923000000000001
2413	1.9116649919591615e-212	0.0096828
916	3.176434485652151e-79	0.0049016
