Node	Average_Approximated_BC
2027	1.3931284844527883
2464	1.2263021084333987
2026	1.3152149978107872
2364	0.0003197841841828976
2444	1.0658656106448076e-07
2443	0.00030750208805046354
1664	0.0016025654297030759
333	2.0566939134737714
348	5.900972911109324e-07
376	0.0003971901440179432
294	0.0013444318274645096
325	1.0602233979539404
292	0.0007326211318501204
327	2.17004784842251
2023	2.551112071415294
648	0.0009666191618870924
291	1.7803696127907104e-14
328	1.217306314593226e-07
2393	0.00035961288122265695
2386	0.0008664937892719427
2362	7.177132639859669e-11
293	0.00030007433879478986
805	9.092822229004903e-08
2577	1.1867055777315391e-07
817	5.542766931631954e-11
3160	7.904785313513681e-22
782	1.5835136658029525e-07
2395	1.6677542681471617e-07
375	0.0005281970043701637
335	5.330847255369937
