Node	Average_Approximated_BC
2238	0.00012797372747750608
7261	0.0002837708172825389
6517	5.5235774498437046e-05
5707	0.0001582155897743279
9220	0.0001408524193812338
9469	0.00016486530043564548
7511	0.0001365626185256664
2266	7.299905639064324e-05
2264	0.00019102391708554842
8529	5.4472763354250995e-05
2583	4.100089818204101e-05
8058	6.419980052565125e-05
5213	1.3691167106109794e-05
7490	2.5675608557369177e-05
7324	1.906984093582857e-05
7497	1.0538108364370278e-06
6618	3.350033929861215e-06
8055	1.3636414704272954e-05
9468	4.5970662661918314e-05
4	5.941299431482621e-05
8836	1.7506928316887114e-05
5180	3.0289963451460533e-05
8837	7.561003468571476e-07
6841	0.00021542940862702485
249	2.803847159083753e-05
6842	5.0200823803057645e-05
4822	2.49572763179086e-05
40	4.258539437058456e-05
4638	1.1800961728602059e-05
2267	7.092472806657794e-07
