Node	Average_Approximated_BC	Total/Numssp
2238	0.0001233062101922411	0.0003604
7261	0.0002655320280870896	0.00038159999999999995
6517	5.55839467161231e-05	0.0011872
5707	7.202627853507276e-05	0.0006784
9220	4.294977847383424e-05	0.0018655999999999998
9469	9.142373317238256e-05	0.0023107999999999996
7511	7.183478835761525e-05	0.0010812
2266	3.376411189357608e-05	0.0015264
2264	8.408945816628817e-05	0.000954
8529	3.200347524441483e-05	0.0029044
2583	2.3576946446398764e-05	0.0032221999999999993
8058	5.109654627617583e-05	0.0019504000000000001
5213	1.529906369044905e-05	0.0037095999999999995
7490	2.7852241677714798e-05	0.0014416
7324	3.5411114858545516e-05	0.0013567999999999998
7497	1.3598114364054561e-06	0.0959406
6618	1.2733831283857995e-06	0.107133
8055	1.6332589577262783e-05	0.0045152
9468	0.00017126585863068894	0.004918
4	5.9300823073109876e-05	0.0007208
8836	3.8877856730032234e-05	0.0016323999999999998
5180	2.6230984253474873e-05	0.0016324000000000002
8837	4.0423274542088386e-07	0.19499740000000002
6841	5.895741353680742e-05	0.006571199999999999
249	3.061691456621338e-05	0.0016748
6842	2.3414881466982016e-05	0.0059142
4822	0.0001617627216017636	0.0045574000000000005
40	2.12435051340586e-05	0.0018655999999999998
4638	1.3437416647402869e-05	0.0049604
2267	5.261676083995975e-07	0.0974456
