Node	Average_Approximated_BC
232	1.623435114581779e-08
1357	6.393496592862443e-32
1122	0.7225039048420041
3815	2.5862878164520148e-24
3672	1.344435941352451e-08
239	1.969770136238044e-20
129	5.573030570701529e-40
121	3.177866606108954e-36
652	2.3962803831525966e-28
1362	5.29363847322194e-44
865	3.189842381727993e-36
24	4.232658482133069e-40
266	9.024708078739028e-56
171	9.637765966227308e-60
557	4.568444973564159e-44
933	3.481703680206552e-75
1938	1.6576085837418132e-20
614	9.698691408716524e-09
7033	4.762724e-318
49	2.6378760623197904e-75
7058	7.769939445106055e-48
1983	1.0480288810000511e-145
689	4.027158877965624e-138
325	8.921273796457877e-107
230	1.441261528643942e-153
80	1.151256554465622e-106
27	3.499809799607201e-130
613	6.017147796208991e-146
2413	0.6603388201369699
916	2.332967625050462e-220
