Node	Average_Approximated_BC	Total/Numssp
0	0.00022705754860297258	0.002
7	1.7587225504135782e-27	0.008199999999999999
8	0.00022013008508805454	0.0058000000000000005
5	4.747894540650298e-37	0.008799999999999999
6	4.905603753299189e-24	0.008
10	8.066850808824807e-31	0.0103
18	2.6194400132767934e-37	0.018000000000000002
16	3.036142795969903e-47	0.0123
12	1.6053033109562557e-27	0.015
21	0.0002076613882516834	0.0173
3	4.49753170134661e-24	0.011099999999999999
1	3.6060091349004387e-57	0.0147
37	1.8513490310066133e-60	0.0273
17	8.857876001210741e-31	0.0173
23	3.325043001291116e-57	0.0243
20	9.570526933795396e-110	0.027200000000000002
13	1.1164187122624472e-40	0.021500000000000002
14	1.3480668953501963e-106	0.0247
68	1.1003202047237918e-40	0.0189
25	4.814734843508632e-100	0.0358
19	2.465942824013559e-103	0.0389
34	3.6734349835193926e-24	0.035699999999999996
11	1.1677806167180046e-40	0.0523
9	4.3113728789418994e-67	0.0257
24	0.4065032516258129	0.0206
41	5.419414871012591e-100	0.0543
74	4.598704288375342e-238	0.07110000000000001
30	1.3097840440263505e-50	0.0397
15	2.6354068996147856e-159	0.0474
32	1.82743087716088e-60	0.035
