Node	Average_Approximated_BC	Total/Numssp
2027	2.225785698566096	0.0004768
2464	1.72547659694789	0.0013716
2026	2.0426210659412558e-07	0.0014315999999999999
2364	1.1619949858419558	0.0010138
2444	0.0008126911056790701	0.0015508000000000002
2443	8.032572463707868e-08	0.0014912
1664	0.0012047840953761488	0.0014908
333	1.5777172809883275	0.0008347999999999999
348	3.3775059665871296	0.0007752
376	0.0006362934154211308	0.0010736
294	0.984221172526936	0.0007754
325	3.45110817203428	0.0007153999999999999
292	1.016011089953566	0.0010138
327	0.0002914657666597016	0.0010736
2023	1.0469039437159541e-07	0.0016101999999999998
648	1.750596730070973	0.0011928000000000002
291	0.0010333155588630508	0.0010138
328	2.3463605576991444	0.0007754000000000001
2393	2.086694595387235	0.0013122
2386	0.0005175278040347367	0.0011332
2362	8.254261179150339e-08	0.0020278
293	3.3522269205360806	0.0016104000000000001
805	0.0003679662684347461	0.0017892000000000001
2577	0.911419114774005	0.0011928
817	1.078818894998814	0.0013122
3160	0.0008404267991247976	0.0009542
782	0.9509735989598574	0.0009542
2395	0.0002754290161717328	0.0015505999999999999
375	2.214537088348173	0.0012524
335	3.246360381861583	0.001491
