Node	Average_Approximated_BC	Total/Numssp
111	323509.40555940557	0.07289999999999999
781	41496.56860438414	0.11439999999999999
1414	42442.55032520672	0.12149999999999998
1426	56755.88672351775	0.091
1709	49486.97957887865	0.10670000000000002
190	102892.5416998127	0.06050000000000001
281	76550.64544256408	0.0701
820	168398.00176819437	0.0739
1308	187412.69541142424	0.10290000000000002
1280	47565.11044332018	0.1096
1489	61849.082127691014	0.10610000000000001
1133	58267.08903833343	0.0772
1857	38019.648580755915	0.16160000000000002
1620	59518.66396753925	0.09519999999999999
315	57422.86699412142	0.08909999999999998
1762	34701.60674984872	0.1341
93	66176.45262792674	0.086
305	68473.42641156905	0.0723
1216	40238.10989669495	0.1387
1577	43918.703241130665	0.11410000000000002
184	68625.05716373785	0.06520000000000001
1375	33167.648915800135	0.132
19	51462.65334072484	0.1058
1325	35729.88462460156	0.1276
974	40504.61647536694	0.1137
913	39932.29211992001	0.11979999999999999
931	57362.61361319502	0.1157
678	150175.06375653791	0.12760000000000002
1736	48422.31250569717	0.11240000000000001
233	56553.06525768615	0.10299999999999998
