Node	Average_Approximated_BC
111	4.049940455205149e-05
781	5.194860769271541e-06
1414	5.313286063102463e-06
1426	7.10513999786652e-06
1709	6.195162092918162e-06
190	1.2880882595929183e-05
281	9.583200689754796e-06
820	2.1081361722927826e-05
1308	2.3461767847315073e-05
1280	5.954567679650658e-06
1489	7.742745512857908e-06
1133	7.294323968582569e-06
1857	4.759593082421581e-06
1620	7.451005779108181e-06
315	7.188637736551137e-06
1762	4.344214994114766e-06
93	8.284479154983739e-06
305	8.572032063525387e-06
1216	5.037317194219601e-06
1577	5.498082279519472e-06
184	8.591014371517319e-06
1375	4.152182311851639e-06
19	6.442492184621445e-06
1325	4.472942755737423e-06
974	5.0706805448979415e-06
913	4.999032564320199e-06
931	7.1810947532318495e-06
678	1.8800073680050477e-05
1736	6.061878850548544e-06
233	7.079749241197944e-06
