Node	Average_Approximated_BC
2027	0.0018870689403440999
2464	0.001363424803196994
2026	0.0008337078400942784
2364	0.00137600075209979
2444	0.0008465965703964691
2443	0.0006910540009073628
1664	0.0007380661729112553
333	0.0004117484356436289
348	0.00078997186035729
376	0.00034304611572982997
294	0.000604294257143583
325	0.0007351312506721536
292	0.0008715383645675534
327	0.0008686776314649304
2023	0.0017859610175853182
648	0.0005198527755164928
291	0.0008363697463111381
328	0.0011333221515466832
2393	0.00042621065393984677
2386	0.0006591102360354085
2362	0.00021919633986241822
293	0.0010233738512850864
805	0.0007336712084662505
2577	0.0006657124756689308
817	0.0005326322994097868
3160	0.0005700574544413416
782	0.0015117535178114465
2395	0.0007183906204039829
375	0.0016721982086825265
335	0.001462668501334336
