Node	Average_Approximated_BC
0	8.022544887487749e-11
7	1.8639813879639813e-30
8	1.0750321216586856e-53
5	1.5962844648093632e-07
6	1.2608218785322198e-30
10	2.5794514577226494e-60
18	6.577659999723226e-24
16	5.166285563256072e-57
12	3.62223104145637e-37
21	8.41865332344463e-123
3	1.5796979808644869e-40
1	1.553633730974062e-40
37	8.693248755898891e-133
17	2.0096961885872976e-119
23	3.6998250742956447e-103
20	5.4909583043194925e-90
13	9.217409153041297e-77
14	2.3036895590748108e-175
68	6.5506143545435676e-24
25	5.0287184037222027e-113
19	8.784446491394925e-133
34	1.71364692536419e-63
11	1.6521543233528617e-119
9	1.9189121124290592e-119
24	2.840872001266766e-287
41	1.8842380136460105e-231
74	4.467622335080731e-297
30	1.9239484514580816e-254
15	4.5953743785285004e-70
32	6.051609501137436e-103
