Node	Average_Approximated_BC	Total/Numssp
2027	0.0012336300186576777	0.0007752000000000001
2464	0.0011383788830890789	0.0004768
2026	0.0007054823041697619	0.000835
2364	0.0006987726386666182	0.0006558000000000001
2444	0.0005109569045395918	0.001014
2443	0.0004865308732453082	0.0008944000000000001
1664	0.00041231235786845234	0.0013718
333	0.0006238752432315569	0.0008944000000000001
348	0.0011261020647845654	0.0007158
376	0.0005759213637886267	0.0007752
294	0.0007719780271957194	0.0007156
325	0.0004790158104765506	0.0011331999999999998
292	0.0008713309317419586	0.0007752
327	0.0004922125740734013	0.0009542
2023	0.0007815169696076188	0.0010138
648	0.0004160977843681472	0.0013716
291	0.0008653966910932915	0.0007752
328	0.0008685203504955952	0.0007752
2393	0.0011551988745363859	0.0012523999999999999
2386	0.0007324364044786972	0.0010735999999999999
2362	0.000334979530920489	0.0015506
293	0.0007188353242193011	0.0017298
805	0.0003550056588929679	0.001372
2577	0.00032622938860452826	0.0012523999999999999
817	0.0005786432148277614	0.0010136
3160	0.0005605627287547834	0.0010736
782	0.00035806170019659527	0.0011928
2395	0.0006249099343883146	0.0008352
375	0.001012066833372624	0.0016102000000000002
335	0.0011048513285315752	0.0006558
